2024-09-14 00:12:00,911 - WARNING - Invalid date encountered: Year=1974, Month=2, Day=None
2024-09-14 00:12:00,911 - WARNING - Invalid date encountered: Year=1974, Month=1, Day=None
2024-09-14 00:12:00,911 - WARNING - Invalid date encountered: Year=1974, Month=12, Day=None
2024-09-14 00:12:00,911 - WARNING - Invalid date encountered: Year=1974, Month=1, Day=None
2024-09-14 00:12:00,911 - WARNING - Invalid date encountered: Year=1974, Month=8, Day=None
2024-09-14 00:12:00,912 - WARNING - Invalid date encountered: Year=1974, Month=10, Day=None
2024-09-14 00:12:00,912 - WARNING - Invalid date encountered: Year=1974, Month=7, Day=None
2024-09-14 00:12:00,912 - WARNING - Invalid date encountered: Year=1974, Month=3, Day=None
2024-09-14 00:12:00,912 - WARNING - Invalid date encountered: Year=1974, Month=2, Day=None
2024-09-14 00:12:00,912 - WARNING - Invalid date encountered: Year=1974, Month=5, Day=None
2024-09-14 00:12:00,913 - WARNING - Invalid date encountered: Year=1974, Month=3, Day=None
2024-09-14 00:12:00,913 - WARNING - Invalid date encountered: Year=1974, Month=4, Day=None
2024-09-14 00:12:00,913 - WARNING - Invalid date encountered: Year=1974, Month=None, Day=None
2024-09-14 00:12:00,913 - WARNING - Invalid date encountered: Year=1974, Month=6, Day=None
2024-09-14 00:12:00,915 - WARNING - Invalid date encountered: Year=1974, Month=8, Day=None
2024-09-14 00:12:00,916 - WARNING - Invalid date encountered: Year=1974, Month=1, Day=None
2024-09-14 00:12:00,916 - WARNING - Invalid date encountered: Year=1974, Month=4, Day=None
2024-09-14 00:12:00,916 - WARNING - Invalid date encountered: Year=1974, Month=10, Day=None
2024-09-14 00:12:00,916 - WARNING - Invalid date encountered: Year=1974, Month=11, Day=None
2024-09-14 00:12:00,916 - WARNING - Invalid date encountered: Year=1974, Month=1, Day=None
2024-09-14 00:12:00,917 - WARNING - Invalid date encountered: Year=1975, Month=4, Day=None
2024-09-14 00:12:00,917 - WARNING - Invalid date encountered: Year=1975, Month=12, Day=None
2024-09-14 00:12:00,918 - WARNING - Invalid date encountered: Year=1975, Month=1, Day=None
2024-09-14 00:12:00,918 - WARNING - Invalid date encountered: Year=1975, Month=1, Day=None
2024-09-14 00:12:00,918 - WARNING - Invalid date encountered: Year=1975, Month=3, Day=None
2024-09-14 00:12:00,918 - WARNING - Invalid date encountered: Year=1975, Month=4, Day=None
2024-09-14 00:12:00,918 - WARNING - Invalid date encountered: Year=1975, Month=7, Day=None
2024-09-14 00:12:00,918 - WARNING - Invalid date encountered: Year=1975, Month=12, Day=None
2024-09-14 00:12:00,918 - WARNING - Invalid date encountered: Year=1975, Month=7, Day=None
2024-09-14 00:12:00,918 - WARNING - Invalid date encountered: Year=1975, Month=3, Day=None
2024-09-14 00:12:00,919 - WARNING - Invalid date encountered: Year=1975, Month=4, Day=None
2024-09-14 00:12:00,919 - WARNING - Invalid date encountered: Year=1975, Month=6, Day=None
2024-09-14 00:12:00,919 - WARNING - Invalid date encountered: Year=1975, Month=12, Day=None
2024-09-14 00:12:00,920 - WARNING - Invalid date encountered: Year=1975, Month=11, Day=None
2024-09-14 00:12:00,921 - WARNING - Invalid date encountered: Year=1975, Month=5, Day=None
2024-09-14 00:12:00,922 - WARNING - Invalid date encountered: Year=1976, Month=4, Day=None
2024-09-14 00:12:00,924 - WARNING - Invalid date encountered: Year=1976, Month=1, Day=None
2024-09-14 00:12:00,924 - WARNING - Invalid date encountered: Year=1976, Month=2, Day=None
2024-09-14 00:12:00,924 - WARNING - Invalid date encountered: Year=1976, Month=12, Day=None
2024-09-14 00:12:00,924 - WARNING - Invalid date encountered: Year=1976, Month=None, Day=None
2024-09-14 00:12:00,924 - WARNING - Invalid date encountered: Year=1976, Month=5, Day=None
2024-09-14 00:12:00,924 - WARNING - Invalid date encountered: Year=1976, Month=10, Day=None
2024-09-14 00:12:00,924 - WARNING - Invalid date encountered: Year=1976, Month=1, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=7, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=3, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1977, Month=None, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=None, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=1, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=10, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=4, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=12, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=4, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=1, Day=None
2024-09-14 00:12:00,925 - WARNING - Invalid date encountered: Year=1976, Month=1, Day=None
